Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
NVP3_UpdateProfile,Chrome 120.0.0.0,,,04-01-2024 21:34:26,04-01-2024 21:37:57,3m - 30.912s,PASSED
,,,,,,,
Test Cases/TC01_LoginDefault,Chrome 120.0.0.0,,,04-01-2024 21:34:26,04-01-2024 21:34:37,11.477s,PASSED
"openBrowser(""https://cqsystem.fionaprodev.com/login"")",Chrome 120.0.0.0,,,04-01-2024 21:34:27,04-01-2024 21:34:31,4.041s,PASSED
maximizeWindow(STOP_ON_FAILURE),Chrome 120.0.0.0,,,04-01-2024 21:34:31,04-01-2024 21:34:31,0.179s,PASSED
enableSmartWait(),Chrome 120.0.0.0,,,04-01-2024 21:34:31,04-01-2024 21:34:31,0.031s,PASSED
"setText(findTestObject(""Login_page/login_email""), ""azalea@gmail.com"")",Chrome 120.0.0.0,,,04-01-2024 21:34:31,04-01-2024 21:34:32,0.881s,PASSED
"setText(findTestObject(""Login_page/login_password""), ""abc12345"")",Chrome 120.0.0.0,,,04-01-2024 21:34:32,04-01-2024 21:34:32,0.729s,PASSED
"click(findTestObject(""Login_page/checkbox_remember""))",Chrome 120.0.0.0,,,04-01-2024 21:34:32,04-01-2024 21:34:33,0.431s,PASSED
"click(findTestObject(""Login_page/button_DangNhap""))",Chrome 120.0.0.0,,,04-01-2024 21:34:33,04-01-2024 21:34:33,0.397s,PASSED
delay(2),Chrome 120.0.0.0,,,04-01-2024 21:34:33,04-01-2024 21:34:35,2.059s,PASSED
Video,Chrome 120.0.0.0,,,04-01-2024 21:34:37,04-01-2024 21:34:37,0.002s,PASSED
,,,,,,,
Test Cases/TC04_VerifyProfile,Chrome 120.0.0.0,,,04-01-2024 21:34:37,04-01-2024 21:34:51,13.149s,PASSED
enableSmartWait(),Chrome 120.0.0.0,,,04-01-2024 21:34:37,04-01-2024 21:34:37,0.008s,PASSED
"click(findTestObject(""Account_menu/img_user-avatar""))",Chrome 120.0.0.0,,,04-01-2024 21:34:37,04-01-2024 21:34:38,0.380s,PASSED
"click(findTestObject(""Object Repository/Account_menu/link_HosoCanhan""))",Chrome 120.0.0.0,,,04-01-2024 21:34:38,04-01-2024 21:34:39,1.325s,PASSED
delay(2),Chrome 120.0.0.0,,,04-01-2024 21:34:39,04-01-2024 21:34:41,2.009s,PASSED
"click(findTestObject(""Object Repository/HosoCanhan_page/a_ThongtinTuhoc""))",Chrome 120.0.0.0,,,04-01-2024 21:34:41,04-01-2024 21:34:42,0.398s,PASSED
delay(2),Chrome 120.0.0.0,,,04-01-2024 21:34:42,04-01-2024 21:34:44,2.006s,PASSED
"click(findTestObject(""Object Repository/HosoCanhan_page/a_KynangChuyenmon""))",Chrome 120.0.0.0,,,04-01-2024 21:34:44,04-01-2024 21:34:44,0.428s,PASSED
delay(2),Chrome 120.0.0.0,,,04-01-2024 21:34:44,04-01-2024 21:34:46,2.007s,PASSED
"click(findTestObject(""Object Repository/HosoCanhan_page/a_ThongtinGiadinh""))",Chrome 120.0.0.0,,,04-01-2024 21:34:46,04-01-2024 21:34:46,0.411s,PASSED
delay(2),Chrome 120.0.0.0,,,04-01-2024 21:34:46,04-01-2024 21:34:48,2.009s,PASSED
Video,Chrome 120.0.0.0,,,04-01-2024 21:34:51,04-01-2024 21:34:51,0.001s,PASSED
,,,,,,,
Test Cases/TC05_update-ThongtinChung,Chrome 120.0.0.0,"cap nhat ho so Ca nhan, muc [Thong tin chung]",,04-01-2024 21:34:51,04-01-2024 21:35:24,33.320s,PASSED
enableSmartWait(),Chrome 120.0.0.0,,,04-01-2024 21:34:51,04-01-2024 21:34:51,0.010s,PASSED
"click(findTestObject(""Object Repository/HosoCanhan_page/a_ThongtinChung""))",Chrome 120.0.0.0,,,04-01-2024 21:34:51,04-01-2024 21:34:51,0.408s,PASSED
delay(2),Chrome 120.0.0.0,,,04-01-2024 21:34:51,04-01-2024 21:34:53,2.021s,PASSED
"clearText(findTestObject(""HosoCanhan_page/input_name""))",Chrome 120.0.0.0,,,04-01-2024 21:34:53,04-01-2024 21:34:54,0.377s,PASSED
"setText(findTestObject(""Object Repository/HosoCanhan_page/input_name""), ""Bảo Quyên"")",Chrome 120.0.0.0,,,04-01-2024 21:34:54,04-01-2024 21:34:54,0.714s,PASSED
delay(2),Chrome 120.0.0.0,,,04-01-2024 21:34:54,04-01-2024 21:34:56,2.020s,PASSED
"clearText(findTestObject(""HosoCanhan_page/input_noisinh""))",Chrome 120.0.0.0,,,04-01-2024 21:34:56,04-01-2024 21:34:57,0.387s,PASSED
